問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
フランス第二共和政において臨時政府首班・外務大臣に選出された共和主義者でロマン派に属する詩人でもある人物は誰か。,ティエール,ラマルティーヌ,ギゾー,ルイ＝ブラン,B
日清戦争敗北後の清で立憲政治を目指す運動は何か。,新文化運動,洋務運動,変法運動,利権回収運動,C
1849年にハンガリーの独立を宣言した民族運動家は誰か。,コシュート,マッツィーニ,パラツキー,コシューシコ,B
1936年にヒトラーがラインラントに進駐したことに伴って破棄された国際条約は何か,ローザンヌ条約,サン=ジェルマン条約,ドーズ案,ロカルノ条約,D
1806年に占領したベルリンでナポレオンが発した、イギリスを経済的に封鎖するための命令は何か。,大陸封鎖令,私掠特許状,航海条例,自由拿捕令,A
1867年にアラスカをアメリカ合衆国に売却した当時のロシア皇帝は誰か。,アレクサンドル１世,ニコライ１世,アレクサンドル２世,ニコライ２世,C
イタリア統一戦争の結果、サルデーニャがオーストリアから獲得したのはどこか。,ロンバルディア,ヴェネツィア,シチリア,トスカナ,A
フランスの傀儡国家だったベトナム国の元首で、阮朝最後の王だった人物は誰か。,ホー＝チ＝ミン,ファン＝ボイ＝チャウ,バオ＝ダイ,ゴ＝ディン＝ジェム,C
フランス第二共和政において労働委員会委員長（労働担当大臣）として入閣した社会主義者は誰か。,ラマルティーヌ,ルイ＝ブラン,サン＝シモン,マルクス,B
1898年に清がロシアに租借した地はどこか。,遼東半島南部,沿海州,広州湾,九龍半島,A
1849年に、ウィーン三月革命でオーストリアが動揺している隙に青年イタリア党が建国をしたもののフランス軍の干渉で崩壊した共和政国家は何か。,トスカナ大公国,ローマ共和国,サルディニア王国,両シチリア王国,B
クリミア戦争中の1855年に即位したロシア皇帝は誰か。,ニコライ１世,アレクサンドル１世,アレクサンドル２世,ニコライ２世,C
ロシア社会民主労働党の左派でレーニンが中心となり、「多数派」という意味の名を持つ派閥は何か,ナロードニキ,独立派,メンシェヴィキ,ボリシェヴィキ,D
